                  relname                  | reltuples | relpages 
 pg_subscription                           |         0 |        0
 pg_db_role_setting                        |         0 |        0
 profile_courses_archive                   |         0 |        0
 profile_tour_archive                      |         0 |        0
 pg_stat_database                          |         0 |        0
 pg_replication_slots                      |         0 |        0
 pg_stat_ssl                               |         0 |        0
 pg_stat_subscription                      |         0 |        0
 pg_toast_88511                            |         0 |        0
 camp_review                               |         0 |        0
 pg_stat_wal_receiver                      |         0 |        0
 pg_toast_88365                            |         0 |        0
 pg_stat_replication                       |         0 |        0
 pg_toast_13663                            |         0 |        0
 pg_stat_activity                          |         0 |        0
 pg_statio_user_sequences                  |         0 |        0
 pg_toast_5697990                          |         0 |        0
 pg_statio_sys_sequences                   |         0 |        0
 pg_statio_all_sequences                   |         0 |        0
 testimonial                               |         0 |        0
 package                                   |         0 |        0
 pg_toast_2396                             |         0 |        0
 flickr_map                                |         0 |        0
 website_news_map                          |         0 |        0
 pg_publication_rel                        |         0 |        0
 pg_statio_user_indexes                    |         0 |        0
 pg_statio_sys_indexes                     |         0 |        0
 pg_toast_88626                            |         0 |        0
 pg_toast_3592                             |         0 |        0
 pg_toast_88569                            |         0 |        0
 pg_toast_88716                            |         0 |        0
 profile_general_archive                   |         0 |        0
 pg_toast_5697999                          |         0 |        0
 pg_toast_5698057                          |         0 |        0
 profile_summercamp_archive                |         0 |        0
 pg_statio_all_indexes                     |         0 |        0
 pg_stat_user_indexes                      |         0 |        0
 pg_stat_sys_indexes                       |         0 |        0
 pg_stat_xact_sys_tables                   |         0 |        0
 pg_toast_5698039                          |         0 |        0
 pg_stat_sys_tables                        |         0 |        0
 pg_toast_13648                            |         0 |        0
 pg_stat_xact_all_tables                   |         0 |        0
 pg_stat_all_tables                        |         0 |        0
 sql_sizing_profiles                       |         0 |        0
 pg_toast_13673                            |         0 |        0
 pg_timezone_names                         |         0 |        0
 pg_timezone_abbrevs                       |         0 |        0
 pg_seclabels                              |         0 |        0
 pg_prepared_statements                    |         0 |        0
 pg_toast_5695660                          |         0 |        0
 pg_toast_2609                             |         0 |        0
 pg_prepared_xacts                         |         0 |        0
 pg_toast_13643                            |         0 |        0
 pg_available_extension_versions           |         0 |        0
 pg_available_extensions                   |         0 |        0
 pg_cursors                                |         0 |        0
 pg_publication_tables                     |         0 |        0
 pg_stats                                  |         0 |        0
 pg_sequences                              |         0 |        0
 pg_toast_88671                            |         0 |        0
 pg_toast_88757                            |         0 |        0
 pg_foreign_server                         |         0 |        0
 search_log                                |         0 |        0
 pg_indexes                                |         0 |        0
 pg_toast_2620                             |         0 |        0
 pg_replication_origin                     |         0 |        0
 pg_matviews                               |         0 |        0
 pg_tables                                 |         0 |        0
 pg_views                                  |         0 |        0
 pg_rules                                  |         0 |        0
 pg_policies                               |         0 |        0
 pg_user                                   |         0 |        0
 pg_group                                  |         0 |        0
 pg_locks                                  |         0 |        0
 pg_largeobject_metadata                   |         0 |        0
 pg_shadow                                 |         0 |        0
 pg_roles                                  |         0 |        0
 pg_stat_all_indexes                       |         0 |        0
 pg_statio_user_tables                     |         0 |        0
 pg_publication                            |         0 |        0
 pg_statio_sys_tables                      |         0 |        0
 pg_statio_all_tables                      |         0 |        0
 pg_stat_xact_user_tables                  |         0 |        0
 pg_stat_user_tables                       |         0 |        0
 pg_replication_origin_status              |         0 |        0
 pg_toast_88480                            |         0 |        0
 pg_toast_13658                            |         0 |        0
 profile_courses                           |         0 |        0
